state,K,N,condition,layer,correctness_cv_auc,retrieval_all_auc,retrieval_wrong_auc,retrieval_correct_auc,behavioral_acc,n_trials,n_all,n_wrong,n_correct
base,10,20,FVQ,17,0.7094791666666667,0.4638888888888889,0.5539351851851853,0.5098993055555556,0.6417,120,120,43,77
base,10,20,FVQ,18,0.736875,0.425,0.5970679012345679,0.5039965277777778,0.6417,120,120,43,77
base,10,20,FVQ,19,0.7590972222222222,0.4677083333333334,0.5875385802469136,0.5412534722222222,0.6417,120,120,43,77
base,10,20,FVQ,20,0.724537037037037,0.4694444444444444,0.5648148148148149,0.5445104166666667,0.6417,120,120,43,77
base,10,20,FVQ,21,0.7345833333333334,0.48888888888888893,0.5388117283950618,0.5064791666666666,0.6417,120,120,43,77
base,10,20,FVQ,22,0.7467592592592592,0.4913194444444445,0.5513117283950617,0.5367291666666667,0.6417,120,120,43,77
base,10,20,FVQ,23,0.7585300925925927,0.49548611111111107,0.5797839506172839,0.49807291666666664,0.6417,120,120,43,77
base,10,20,FVQ,24,0.725775462962963,0.4375,0.5644675925925926,0.5533506944444444,0.6417,120,120,43,77
base,10,20,FVQ,25,0.7437962962962963,0.4395833333333334,0.6156635802469136,0.5376666666666667,0.6417,120,120,43,77
base,10,20,FVQ,26,0.7148148148148149,0.42777777777777776,0.5501543209876543,0.4903402777777778,0.6417,120,120,43,77
base,10,20,FVQ,27,0.7889467592592593,0.5163194444444444,0.5133101851851852,0.5441909722222222,0.6417,120,120,43,77
base,10,20,FVQ,28,0.7916666666666666,0.5246527777777779,0.49043209876543215,0.5152013888888889,0.6417,120,120,43,77
base,10,20,FVQ,29,0.7733217592592593,0.46875,0.5350308641975309,0.4596840277777778,0.6417,120,120,43,77
base,10,20,FVQ,30,0.7951157407407408,0.478125,0.477391975308642,0.5052881944444445,0.6417,120,120,43,77
base,10,20,FVQ,31,0.7627893518518518,0.5680555555555555,0.6213734567901235,0.5885,0.6417,120,120,43,77
base,10,20,FVQ,32,0.7324305555555556,0.7409722222222221,0.6956018518518519,0.8265729166666667,0.6417,120,120,43,77
base,10,20,FVQ,33,0.7261805555555556,0.867013888888889,0.6702546296296297,0.93284375,0.6417,120,120,43,77
base,10,20,FVQ,34,0.7572916666666666,0.8736111111111111,0.7158564814814815,0.9434027777777778,0.6417,120,120,43,77
base,10,20,FVQ,35,0.7285763888888889,0.8909722222222222,0.7378858024691358,0.9339479166666667,0.6417,120,120,43,77
base,10,20,CVQ,0,0.44017857142857136,0.5358024691358024,0.5020408163265306,0.5125,0.2222,180,180,140,40
base,10,20,CVQ,1,0.46696428571428567,0.49027777777777776,0.45943877551020407,0.415625,0.2222,180,180,140,40
base,10,20,CVQ,2,0.4401785714285714,0.5319444444444444,0.4869897959183673,0.4375,0.2222,180,180,140,40
